ID Gender,Gender,ID Industry Group,Industry Group,ID Year,Year,Median Earnings by Industry and Gender,Median Earnings by Industry and Gender Moe,Geography,ID Geography,Slug Geography
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2018,"2018",18662,10911,"Ames, IA","16000US1901855","ames-ia"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2018,"2018",19564,3374,"Ames, IA","16000US1901855","ames-ia"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2018,"2018",11272,1565,"Ames, IA","16000US1901855","ames-ia"
1,"Female",13,"Other Services Except Public Administration",2018,"2018",21526,6523,"Ames, IA","16000US1901855","ames-ia"
1,"Female",14,"Public Administration",2018,"2018",44444,29159,"Ames, IA","16000US1901855","ames-ia"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2017,"2017",20114,7529,"Ames, IA","16000US1901855","ames-ia"
0,"Male",2,"Construction",2017,"2017",29286,7251,"Ames, IA","16000US1901855","ames-ia"
0,"Male",3,"Manufacturing",2017,"2017",40455,7896,"Ames, IA","16000US1901855","ames-ia"
0,"Male",4,"Wholesale Trade",2017,"2017",42262,42274,"Ames, IA","16000US1901855","ames-ia"
0,"Male",5,"Retail Trade",2017,"2017",12022,5885,"Ames, IA","16000US1901855","ames-ia"
0,"Male",6,"Transportation & Warehousing, & Utilities",2017,"2017",31420,28166,"Ames, IA","16000US1901855","ames-ia"
0,"Male",7,"Information",2017,"2017",49714,23232,"Ames, IA","16000US1901855","ames-ia"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2017,"2017",67115,48714,"Ames, IA","16000US1901855","ames-ia"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2017,"2017",33889,17816,"Ames, IA","16000US1901855","ames-ia"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2017,"2017",30399,6652,"Ames, IA","16000US1901855","ames-ia"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2017,"2017",10809,1884,"Ames, IA","16000US1901855","ames-ia"
0,"Male",13,"Other Services Except Public Administration",2017,"2017",34464,11906,"Ames, IA","16000US1901855","ames-ia"
